,dGr_prime,SD of dGr_prime
r_0626,-26.676206988771327,2.168290376663208
r_0627,-26.676186007937304,2.1682991981506348
r_0628,-26.676215417917575,2.1682844161987305
r_0629,-26.676190622386287,2.1682910919189453
r_0630,-26.67626831176213,2.168342113494873
r_0631,-26.67622825744175,2.1683201789855957
r_0632,-26.676204208915692,2.1682963371276855
r_0633,-26.67616987664124,2.1682991981506348
r_0634,-26.676202050551097,2.1682868003845215
r_0635,-26.676181069717046,2.1683144569396973
r_0636,-26.676148193575187,2.168272018432617
r_0637,-26.676129120088888,2.168280601501465
r_0638,-26.676154529751983,2.1682920455932617
r_0639,-26.67616025179791,2.1682982444763184
r_0640,-26.67619616496316,2.1683220863342285
r_0641,-26.67616564738509,2.1683173179626465
r_0642,-26.67612439252565,2.1683077812194824
r_0643,-26.67612013412807,2.168318271636963
r_0644,-26.676145588231947,2.1683003902435303
r_0645,-26.676122700048353,2.1683197021484375
r_0646,-22.691008477740336,2.168280979860126
r_0647,-22.69105242305285,2.1683001830228266
r_0648,-22.691056658370375,2.168259824119263
r_0649,-22.691072527511,2.1683090017505675
r_0650,-22.691102038398064,2.168308005887632
r_0651,-22.6910947141793,2.16833742169856
r_0652,-22.691041232173465,2.1683040161699942
r_0653,-22.691042452876605,2.1682981523458262
r_0654,-22.691048979528315,2.168290498029132
r_0655,-22.691041655309593,2.168295137923204
r_0656,-18.796884271047475,1.721067379677561
r_0657,-18.444945794454192,2.0369926071067974
r_0658,23.038865939791627,2.226494073867798
r_0659,8.153212071163495,2.2264909744262695
r_0661,8.101834892201296,2.226494550704956
r_0662,16.764203453027655,1.5932648181915283
r_0663,-1.669060834790578,2.8658933639526367
r_0664,-1.6693500465004902,2.865893840789795
r_0665,,
r_0666,,
r_0667,-3.0160794230991357,2.560520887374878
r_0668,8.060674621354817,1.462029218673706
r_0669,-22.563718031548085,5.571324189967887
r_0670,-48.5784561180083,6.013349368121276
r_0671,-402.4539552473398,5.440930984125073
